Index,Anime Index,Status,Viewers,Rating
800,202,Watching,1714,4.417
801,202,To-Watch,12161,4.417
802,202,Dropped,916,4.417
803,203,Watched,9530,4.416
804,203,Watching,394,4.416
805,203,To-Watch,4380,4.416
806,203,Dropped,143,4.416
807,204,Watched,3938,4.416
808,204,Watching,943,4.416
809,204,To-Watch,1620,4.416
810,204,Dropped,121,4.416
811,205,Watched,3290,4.417
812,205,Watching,1301,4.417
813,205,To-Watch,2730,4.417
814,205,Dropped,284,4.417
815,206,Watched,41590,4.415
816,206,Watching,6127,4.415
817,206,To-Watch,11659,4.415
818,206,Dropped,1838,4.415
819,207,Watched,15436,4.414
820,207,Watching,1742,4.414
821,207,To-Watch,5735,4.414
822,207,Dropped,252,4.414
823,208,Watched,233,4.414
824,208,Watching,15,4.414
825,208,To-Watch,323,4.414
826,208,Dropped,1,4.414
827,209,Watched,7913,4.415
828,209,Watching,240,4.415
829,209,To-Watch,11052,4.415
830,209,Dropped,61,4.415
831,210,Watched,3569,4.414
832,210,Watching,61,4.414
833,210,To-Watch,1851,4.414
834,210,Dropped,29,4.414
835,211,Watched,9728,4.414
836,211,Watching,1869,4.414
837,211,To-Watch,7681,4.414
838,211,Dropped,216,4.414
839,212,Watched,6291,4.414
840,212,Watching,139,4.414
841,212,To-Watch,3108,4.414
842,212,Dropped,28,4.414
843,213,Watched,917,4.413
844,213,Watching,641,4.413
845,213,To-Watch,2176,4.413
846,213,Dropped,56,4.413
847,214,Watched,14962,4.412
848,214,Watching,156,4.412
849,214,To-Watch,3149,4.412
850,214,Dropped,71,4.412
851,215,Watched,506,4.415
852,215,Watching,31,4.415
853,215,To-Watch,488,4.415
854,215,Dropped,1,4.415
855,216,Watched,3340,4.412
856,216,Watching,90,4.412
857,216,To-Watch,2314,4.412
858,216,Dropped,19,4.412
859,217,Watched,8121,4.411
860,217,Watching,138,4.411
861,217,To-Watch,5203,4.411
862,217,Dropped,60,4.411
863,218,Watched,6468,4.411
864,218,Watching,278,4.411
865,218,To-Watch,2353,4.411
866,218,Dropped,194,4.411
867,219,Watched,27250,4.411
868,219,Watching,2162,4.411
869,219,To-Watch,6099,4.411
870,219,Dropped,402,4.411
871,220,Watched,12013,4.41
872,220,Watching,166,4.41
873,220,To-Watch,6314,4.41
874,220,Dropped,67,4.41
875,221,Watched,12646,4.41
876,221,Watching,108,4.41
877,221,To-Watch,3046,4.41
878,221,Dropped,46,4.41
879,222,Watched,4327,4.409
880,222,Watching,59,4.409
881,222,To-Watch,1754,4.409
882,222,Dropped,21,4.409
883,223,Watched,8010,4.409
884,223,Watching,384,4.409
885,223,To-Watch,2207,4.409
886,223,Dropped,58,4.409
887,224,Watched,29061,4.408
888,224,Watching,3384,4.408
889,224,To-Watch,11591,4.408
890,224,Dropped,1120,4.408
891,225,Watched,2177,4.408
892,225,Watching,47,4.408
893,225,To-Watch,760,4.408
894,225,Dropped,23,4.408
895,226,Watched,7863,4.406
896,226,Watching,667,4.406
897,226,To-Watch,3611,4.406
898,226,Dropped,420,4.406
899,227,Watched,8244,4.407
900,227,Watching,1515,4.407
901,227,To-Watch,3807,4.407
