Index,Anime Index,Warning
1508,1239,None
1509,1240,None
1510,1241,None
1511,1242,None
1512,1243,None
1513,1244,None
1514,1245,Nudity
1515,1246,None
1516,1247,Violence
1517,1248,None
1518,1249,None
1519,1250,None
1520,1251,None
1521,1252,None
1522,1253,None
1523,1254,None
1524,1255,None
1525,1256,None
1526,1257,Nudity
1527,1257,Sexual Content
1528,1258,None
1529,1259,None
1530,1260,None
1531,1261,None
1532,1262,None
1533,1263,None
1534,1264,Mature Themes
1535,1264,Suicide
1536,1265,None
1537,1266,None
1538,1267,None
1539,1268,None
1540,1269,None
1541,1270,None
1542,1271,None
1543,1272,None
1544,1273,None
1545,1274,None
1546,1275,Violence
1547,1276,None
1548,1277,None
1549,1278,None
1550,1279,Cannibalism
1551,1279,Violence
1552,1280,Bullying
1553,1280,Emotional Abuse
1554,1281,Bullying
1555,1281,Emotional Abuse
1556,1281,Mature Themes
1557,1281,Physical Abuse
1558,1282,None
1559,1283,None
1560,1284,None
1561,1285,None
1562,1286,Nudity
1563,1287,None
1564,1288,None
1565,1289,None
1566,1290,None
1567,1291,None
1568,1292,None
1569,1293,None
1570,1294,None
1571,1295,None
1572,1296,Drug Use
1573,1296,Mature Themes
1574,1297,None
1575,1298,None
1576,1299,None
1577,1300,None
1578,1301,None
1579,1302,Explicit Violence
1580,1302,Mature Themes
1581,1302,Physical Abuse
1582,1303,Violence
1583,1304,None
1584,1305,None
1585,1306,None
1586,1307,None
1587,1308,Violence
1588,1309,None
1589,1310,None
1590,1311,Violence
1591,1312,None
1592,1313,Nudity
1593,1314,None
1594,1315,None
1595,1316,Nudity
1596,1317,None
1597,1318,None
1598,1319,None
1599,1320,None
1600,1321,None
1601,1322,None
1602,1323,None
1603,1324,None
1604,1325,None
1605,1326,None
1606,1327,None
1607,1328,None
1608,1329,None
1609,1330,None
1610,1331,None
1611,1332,None
1612,1333,None
1613,1334,None
1614,1335,None
1615,1336,None
1616,1337,Violence
1617,1338,None
1618,1339,None
1619,1340,None
1620,1341,None
1621,1342,None
1622,1343,None
1623,1344,None
1624,1345,None
1625,1346,None
1626,1347,None
1627,1348,Violence
1628,1349,None
1629,1350,None
1630,1351,Nudity
1631,1351,Sexual Content
1632,1352,None
1633,1353,None
1634,1354,None
1635,1355,None
1636,1356,None
1637,1357,Mature Themes
1638,1357,Suicide
1639,1358,None
1640,1359,None
1641,1360,None
1642,1361,Violence
1643,1362,None
1644,1363,Violence
1645,1364,Explicit Violence
1646,1365,None
1647,1366,None
1648,1367,None
1649,1368,None
1650,1369,None
1651,1370,None
1652,1371,None
1653,1372,None
1654,1373,None
1655,1374,None
1656,1375,None
1657,1376,None
1658,1377,None
1659,1378,None
1660,1379,None
1661,1380,Animal Abuse
1662,1380,Emotional Abuse
1663,1380,Mature Themes
1664,1380,Nudity
1665,1381,None
1666,1382,None
1667,1383,Explicit Violence
1668,1383,Nudity
1669,1384,None
1670,1385,None
1671,1386,None
1672,1387,Violence
1673,1388,Animal Abuse
1674,1388,Explicit Violence
1675,1388,Mature Themes
1676,1389,None
1677,1390,None
1678,1391,None
1679,1392,None
1680,1393,None
1681,1394,None
1682,1395,None
